year,exchange_rate_lcu_per_usd,gdp_growth_pct,gdp_per_capita_constant_2015_usd,gdp_per_capita_ppp_constant_2021_intl_usd,gdp_ppp_constant_2021_intl_usd,gross_savings_pct_gdp,inflation_cpi_pct,investment_pct_gdp,unemployment_pct,fiscal_balance_pct_gdp,government_debt_pct_gdp,government_expenditure_pct_gdp,government_revenue_pct_gdp,primary_balance_pct_gdp,net_interest_payments_pct_gdp,current_account_balance_pct_gdp,exports_growth_pct,exports_pct_gdp,external_debt_pct_gni,external_debt_service_pct_exports,external_debt_stocks_current_usd,fdi_net_inflows_pct_gdp,imports_pct_gdp,reserves_months_imports,reserves_pct_external_debt,short_term_debt_pct_reserves,trade_openness_pct_gdp,bank_npl_pct_gross_loans,real_interest_rate_pct,control_of_corruption_estimate,government_effectiveness_estimate,political_stability_estimate,regulatory_quality_estimate,rule_of_law_estimate,voice_accountability_estimate,electoral_democracy_index,head_of_government,head_of_government_tenure_years,average_government_duration_since_2000,government_change_dummy,government_changes_previous_5y,global_competitiveness_index,fragile_states_index,battle_related_deaths,armed_conflict_dummy,log_battle_related_deaths,sovereign_debt_in_default_usd_mn,sovereign_default_dummy,default_previous_5y,default_previous_10y,years_since_last_default,never_default_history_dummy
2010,2.18978102189781,0.7299270072992701,0.7299270072992701,2.9197080291970803,2.9197080291970803,13.86861313868613,4.37956204379562,10.218978102189782,5.109489051094891,2.9197080291970803,3.64963503649635,2.9197080291970803,2.9197080291970803,4.37956204379562,4.37956204379562,7.2992700729927,16.05839416058394,10.218978102189782,48.175182481751825,48.9051094890511,48.175182481751825,2.9197080291970803,10.218978102189782,10.948905109489052,52.55474452554745,52.55474452554745,10.218978102189782,35.03649635036496,28.467153284671532,2.18978102189781,2.18978102189781,1.4598540145985401,2.18978102189781,1.4598540145985401,1.4598540145985401,7.2992700729927,39.416058394160586,39.416058394160586,39.416058394160586,7.2992700729927,7.2992700729927,13.138686131386862,7.2992700729927,91.97080291970804,91.97080291970804,91.97080291970804,0.0,0.0,0.0,0.0,0.0,0.0
2011,2.18978102189781,0.7299270072992701,0.7299270072992701,2.9197080291970803,2.9197080291970803,13.86861313868613,4.37956204379562,10.948905109489052,5.109489051094891,2.9197080291970803,3.64963503649635,2.9197080291970803,2.9197080291970803,4.37956204379562,4.37956204379562,6.569343065693431,14.5985401459854,10.948905109489052,48.175182481751825,48.9051094890511,48.175182481751825,3.64963503649635,10.948905109489052,9.48905109489051,52.55474452554745,52.55474452554745,10.948905109489052,30.656934306569344,29.1970802919708,2.18978102189781,2.18978102189781,1.4598540145985401,2.18978102189781,1.4598540145985401,1.4598540145985401,7.2992700729927,39.416058394160586,39.416058394160586,39.416058394160586,7.2992700729927,7.2992700729927,12.408759124087592,7.2992700729927,89.78102189781022,89.78102189781022,89.78102189781022,0.0,0.0,0.0,0.0,0.0,0.0
2012,2.127659574468085,0.7092198581560284,0.7092198581560284,2.8368794326241136,2.8368794326241136,14.184397163120568,4.964539007092199,11.347517730496454,6.382978723404255,3.546099290780142,4.25531914893617,3.546099290780142,3.546099290780142,4.964539007092199,4.964539007092199,6.382978723404255,15.602836879432624,11.347517730496454,47.5177304964539,48.226950354609926,47.5177304964539,2.8368794326241136,11.347517730496454,9.929078014184398,51.77304964539007,51.77304964539007,11.347517730496454,29.78723404255319,29.78723404255319,2.127659574468085,2.127659574468085,1.4184397163120568,2.127659574468085,1.4184397163120568,1.4184397163120568,8.51063829787234,40.42553191489361,40.42553191489361,39.71631205673759,8.51063829787234,8.51063829787234,14.893617021276595,7.801418439716312,89.36170212765957,89.36170212765957,89.36170212765957,0.0,0.0,0.0,0.0,0.0,0.0
2013,2.112676056338028,0.7042253521126761,0.7042253521126761,2.8169014084507045,2.8169014084507045,13.380281690140844,4.929577464788732,10.56338028169014,5.633802816901409,3.5211267605633805,4.225352112676056,3.5211267605633805,3.5211267605633805,4.929577464788732,4.929577464788732,6.338028169014084,14.788732394366196,10.56338028169014,47.183098591549296,47.88732394366197,47.183098591549296,2.8169014084507045,10.56338028169014,10.56338028169014,52.112676056338024,52.112676056338024,10.56338028169014,29.577464788732392,28.87323943661972,2.112676056338028,2.112676056338028,1.4084507042253522,2.112676056338028,1.4084507042253522,1.4084507042253522,7.746478873239436,40.140845070422536,40.140845070422536,38.732394366197184,7.746478873239436,7.746478873239436,12.676056338028168,7.746478873239436,87.32394366197182,87.32394366197182,87.32394366197182,0.0,0.0,0.0,0.0,0.0,0.0
2014,2.054794520547945,0.684931506849315,0.684931506849315,2.73972602739726,2.73972602739726,13.698630136986301,5.47945205479452,10.273972602739725,5.47945205479452,3.4246575342465753,4.10958904109589,3.4246575342465753,3.4246575342465753,4.794520547945205,4.794520547945205,6.8493150684931505,15.068493150684931,10.273972602739725,47.26027397260274,47.94520547945205,47.26027397260274,4.10958904109589,10.273972602739725,10.95890410958904,52.054794520547944,52.054794520547944,10.273972602739725,30.82191780821918,30.136986301369863,2.054794520547945,2.054794520547945,1.36986301369863,2.054794520547945,1.36986301369863,1.36986301369863,8.21917808219178,40.41095890410959,40.41095890410959,38.35616438356164,8.21917808219178,8.21917808219178,15.753424657534246,8.21917808219178,85.61643835616438,85.61643835616438,85.61643835616438,0.0,0.0,0.0,0.0,0.0,0.0
2015,2.0408163265306123,0.6802721088435374,0.0,2.7210884353741496,2.7210884353741496,12.925170068027212,5.442176870748299,8.843537414965986,5.442176870748299,3.4013605442176873,4.081632653061225,3.4013605442176873,3.4013605442176873,4.761904761904762,4.761904761904762,6.802721088435375,14.965986394557824,8.843537414965986,45.57823129251701,46.25850340136054,45.57823129251701,4.081632653061225,8.843537414965986,10.884353741496598,50.34013605442177,50.34013605442177,8.843537414965986,25.850340136054424,32.6530612244898,1.3605442176870748,1.3605442176870748,1.3605442176870748,1.3605442176870748,1.3605442176870748,1.3605442176870748,8.16326530612245,40.136054421768705,40.136054421768705,38.095238095238095,8.16326530612245,8.16326530612245,17.687074829931973,8.16326530612245,82.99319727891157,82.99319727891157,82.99319727891157,0.0,0.0,0.0,0.0,0.0,0.0
2016,2.0,0.6666666666666667,0.6666666666666667,2.666666666666667,2.666666666666667,13.333333333333334,5.333333333333334,8.666666666666668,5.333333333333334,3.3333333333333335,4.0,3.3333333333333335,3.3333333333333335,4.666666666666667,4.666666666666667,6.666666666666667,13.333333333333334,8.666666666666668,44.666666666666664,45.33333333333333,44.666666666666664,4.0,8.666666666666668,11.333333333333332,49.333333333333336,49.333333333333336,8.666666666666668,22.666666666666664,33.33333333333333,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.3333333333333335,8.0,40.0,40.0,38.666666666666664,8.0,8.0,18.0,8.0,81.33333333333333,81.33333333333333,81.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2017,1.9736842105263157,0.6578947368421052,0.6578947368421052,2.631578947368421,2.631578947368421,13.157894736842104,7.894736842105263,7.894736842105263,5.263157894736842,3.289473684210526,3.9473684210526314,3.289473684210526,3.289473684210526,4.605263157894736,4.605263157894736,7.236842105263158,13.157894736842104,7.236842105263158,44.07894736842105,45.39473684210527,44.07894736842105,3.9473684210526314,7.236842105263158,11.842105263157894,48.68421052631579,48.68421052631579,7.236842105263158,20.394736842105264,34.868421052631575,1.3157894736842104,1.3157894736842104,1.3157894736842104,1.3157894736842104,1.3157894736842104,1.3157894736842104,7.894736842105263,40.78947368421053,40.78947368421053,39.473684210526315,7.894736842105263,7.894736842105263,20.394736842105264,7.894736842105263,84.21052631578947,84.21052631578947,84.21052631578947,0.0,0.0,0.0,0.0,0.0,0.0
2018,2.5974025974025974,0.6493506493506493,0.6493506493506493,2.5974025974025974,2.5974025974025974,12.987012987012985,7.792207792207792,7.792207792207792,5.194805194805195,3.2467532467532463,3.896103896103896,3.2467532467532463,3.2467532467532463,4.545454545454546,4.545454545454546,7.792207792207792,12.337662337662337,7.142857142857142,43.506493506493506,44.8051948051948,43.506493506493506,3.896103896103896,7.142857142857142,12.987012987012985,49.35064935064935,49.35064935064935,7.142857142857142,20.77922077922078,38.311688311688314,1.2987012987012987,1.2987012987012987,1.2987012987012987,1.2987012987012987,1.2987012987012987,1.948051948051948,7.792207792207792,40.909090909090914,40.909090909090914,38.961038961038966,7.792207792207792,7.792207792207792,100.0,7.792207792207792,82.46753246753246,82.46753246753246,82.46753246753246,0.0,0.0,0.0,0.0,0.0,0.0
2019,2.5806451612903225,0.6451612903225806,0.6451612903225806,2.5806451612903225,2.5806451612903225,12.903225806451612,7.741935483870968,8.38709677419355,5.161290322580645,3.225806451612903,3.870967741935484,3.225806451612903,3.225806451612903,4.516129032258064,4.516129032258064,6.451612903225806,12.903225806451612,7.741935483870968,43.225806451612904,43.87096774193549,43.225806451612904,3.870967741935484,7.741935483870968,12.903225806451612,49.67741935483871,49.67741935483871,7.741935483870968,21.29032258064516,40.0,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.935483870967742,7.741935483870968,40.64516129032258,40.64516129032258,38.064516129032256,7.741935483870968,7.741935483870968,100.0,7.741935483870968,80.64516129032258,80.64516129032258,80.64516129032258,0.0,0.0,0.0,0.0,0.0,0.0
2020,2.5806451612903225,0.6451612903225806,0.6451612903225806,2.5806451612903225,2.5806451612903225,12.903225806451612,9.032258064516128,8.38709677419355,5.161290322580645,3.225806451612903,3.870967741935484,3.225806451612903,3.225806451612903,4.516129032258064,4.516129032258064,6.451612903225806,12.903225806451612,7.741935483870968,43.225806451612904,43.87096774193549,43.225806451612904,3.870967741935484,7.741935483870968,12.903225806451612,49.67741935483871,49.67741935483871,7.741935483870968,21.935483870967744,43.225806451612904,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.935483870967742,7.741935483870968,40.64516129032258,40.64516129032258,38.064516129032256,7.741935483870968,7.741935483870968,100.0,7.741935483870968,80.64516129032258,80.64516129032258,80.64516129032258,0.0,0.0,0.0,0.0,0.0,0.0
2021,1.9230769230769231,0.641025641025641,0.641025641025641,2.564102564102564,2.564102564102564,13.461538461538462,8.974358974358974,8.333333333333332,5.128205128205128,3.205128205128205,3.8461538461538463,3.205128205128205,3.205128205128205,4.487179487179487,4.487179487179487,7.051282051282051,13.461538461538462,8.333333333333332,42.94871794871795,43.58974358974359,42.94871794871795,2.564102564102564,8.333333333333332,13.461538461538462,50.0,50.0,8.333333333333332,21.794871794871796,44.230769230769226,1.282051282051282,1.282051282051282,1.282051282051282,1.282051282051282,1.282051282051282,1.9230769230769231,7.6923076923076925,40.38461538461539,40.38461538461539,37.82051282051282,7.6923076923076925,7.6923076923076925,100.0,7.051282051282051,83.33333333333334,83.33333333333334,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2022,1.9230769230769231,0.641025641025641,0.641025641025641,2.564102564102564,2.564102564102564,14.102564102564102,8.974358974358974,8.333333333333332,5.769230769230769,3.205128205128205,3.8461538461538463,3.205128205128205,3.205128205128205,4.487179487179487,4.487179487179487,7.6923076923076925,14.102564102564102,8.333333333333332,42.94871794871795,44.230769230769226,42.94871794871795,2.564102564102564,8.333333333333332,14.102564102564102,50.0,50.0,8.333333333333332,23.076923076923077,50.641025641025635,1.282051282051282,1.282051282051282,1.282051282051282,1.282051282051282,1.282051282051282,1.9230769230769231,7.6923076923076925,39.1025641025641,39.1025641025641,37.17948717948718,7.6923076923076925,7.6923076923076925,100.0,7.051282051282051,78.2051282051282,78.2051282051282,78.2051282051282,0.0,0.0,0.0,0.0,0.0,0.0
2023,1.910828025477707,0.6369426751592357,0.6369426751592357,2.547770700636943,2.547770700636943,14.64968152866242,8.280254777070063,8.9171974522293,5.7324840764331215,3.1847133757961785,3.821656050955414,3.1847133757961785,3.1847133757961785,5.095541401273886,5.095541401273886,7.643312101910828,14.012738853503185,8.9171974522293,44.5859872611465,43.94904458598726,43.94904458598726,2.547770700636943,8.9171974522293,14.012738853503185,50.955414012738856,50.955414012738856,8.9171974522293,24.203821656050955,54.14012738853503,1.2738853503184715,1.2738853503184715,1.2738853503184715,1.2738853503184715,1.2738853503184715,1.910828025477707,7.643312101910828,38.853503184713375,38.853503184713375,36.94267515923567,7.643312101910828,7.643312101910828,100.0,7.006369426751593,81.52866242038218,81.52866242038218,81.52866242038218,0.0,0.0,0.0,0.0,0.0,0.0
2024,5.063291139240507,1.89873417721519,1.89873417721519,3.1645569620253164,3.1645569620253164,19.62025316455696,8.860759493670885,11.39240506329114,6.329113924050633,3.1645569620253164,3.79746835443038,3.1645569620253164,3.1645569620253164,5.063291139240507,5.063291139240507,12.025316455696203,15.822784810126583,10.759493670886076,45.56962025316456,45.56962025316456,44.303797468354425,3.79746835443038,10.759493670886076,17.72151898734177,51.89873417721519,51.89873417721519,10.759493670886076,29.11392405063291,56.9620253164557,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.89873417721519,7.59493670886076,38.607594936708864,38.607594936708864,36.708860759493675,7.59493670886076,7.59493670886076,100.0,100.0,81.0126582278481,81.0126582278481,81.0126582278481,0.0,0.0,0.0,0.0,0.0,0.0
