iso3,year,global_competitiveness_index
HUN,2008,4.22
HUN,2009,4.22
HUN,2010,4.33
HUN,2011,4.36
HUN,2012,4.3
HUN,2013,4.25
HUN,2014,4.28
HUN,2015,4.25
HUN,2016,4.2
HUN,2017,4.33
IDN,2007,4.24
IDN,2008,4.25
IDN,2009,4.26
IDN,2010,4.43
IDN,2011,4.38
IDN,2012,4.4
IDN,2013,4.53
IDN,2014,4.57
IDN,2015,4.52
IDN,2016,4.52
IDN,2017,4.68
IND,2007,4.33
IND,2008,4.33
IND,2009,4.3
IND,2010,4.33
IND,2011,4.3
IND,2012,4.32
IND,2013,4.28
IND,2014,4.21
IND,2015,4.31
IND,2016,4.52
IND,2017,4.59
IRL,2007,5.03
IRL,2008,4.99
IRL,2009,4.84
IRL,2010,4.74
IRL,2011,4.77
IRL,2012,4.91
IRL,2013,4.92
IRL,2014,4.98
IRL,2015,5.11
IRL,2016,5.18
IRL,2017,5.16
IRN,2010,4.14
IRN,2011,4.26
IRN,2012,4.22
IRN,2013,4.07
IRN,2014,4.03
IRN,2015,4.09
IRN,2016,4.12
IRN,2017,4.27
ISL,2007,5.02
ISL,2008,5.05
ISL,2009,4.8
ISL,2010,4.68
ISL,2011,4.75
ISL,2012,4.74
ISL,2013,4.66
ISL,2014,4.71
ISL,2015,4.83
ISL,2016,4.96
ISL,2017,4.99
ISR,2007,5.2
ISR,2008,4.97
ISR,2009,4.8
ISR,2010,4.91
ISR,2011,5.07
ISR,2012,5.02
ISR,2013,4.94
ISR,2014,4.95
ISR,2015,4.98
ISR,2016,5.18
ISR,2017,5.31
ITA,2007,4.36
ITA,2008,4.35
ITA,2009,4.31
ITA,2010,4.37
ITA,2011,4.43
ITA,2012,4.46
ITA,2013,4.41
ITA,2014,4.42
ITA,2015,4.46
ITA,2016,4.5
ITA,2017,4.54
JAM,2007,3.95
JAM,2008,3.89
JAM,2009,3.81
JAM,2010,3.85
JAM,2011,3.76
JAM,2012,3.84
JAM,2013,3.86
JAM,2014,3.98
JAM,2015,3.97
JAM,2016,4.13
JAM,2017,4.25
JOR,2007,4.32
JOR,2008,4.37
JOR,2009,4.3
JOR,2010,4.21
JOR,2011,4.19
JOR,2012,4.23
JOR,2013,4.2
JOR,2014,4.25
JOR,2015,4.23
JOR,2016,4.29
JOR,2017,4.3
JPN,2007,5.43
JPN,2008,5.38
JPN,2009,5.37
JPN,2010,5.37
JPN,2011,5.4
JPN,2012,5.4
JPN,2013,5.4
JPN,2014,5.47
JPN,2015,5.47
JPN,2016,5.48
JPN,2017,5.49
KAZ,2007,4.14
KAZ,2008,4.11
KAZ,2009,4.08
KAZ,2010,4.12
KAZ,2011,4.18
KAZ,2012,4.38
KAZ,2013,4.41
KAZ,2014,4.42
KAZ,2015,4.48
KAZ,2016,4.41
KAZ,2017,4.35
KEN,2007,3.61
KEN,2008,3.84
KEN,2009,3.67
KEN,2010,3.65
KEN,2011,3.82
KEN,2012,3.75
KEN,2013,3.85
KEN,2014,3.93
KEN,2015,3.85
KEN,2016,3.9
KEN,2017,3.98
KGZ,2007,3.34
KGZ,2008,3.4
KGZ,2009,3.36
KGZ,2010,3.49
KGZ,2011,3.45
KGZ,2012,3.44
KGZ,2013,3.57
KGZ,2014,3.73
KGZ,2015,3.83
KGZ,2016,3.75
KGZ,2017,3.9
KHM,2007,3.48
KHM,2008,3.53
KHM,2009,3.51
KHM,2010,3.63
KHM,2011,3.85
KHM,2012,4.01
KHM,2013,4.01
KHM,2014,3.89
KHM,2015,3.94
KHM,2016,3.98
KHM,2017,3.93
KOR,2007,5.4
KOR,2008,5.28
KOR,2009,5.0
KOR,2010,4.93
KOR,2011,5.02
KOR,2012,5.12
KOR,2013,5.01
KOR,2014,4.96
KOR,2015,4.99
KOR,2016,5.03
KOR,2017,5.07
KWT,2007,4.66
KWT,2008,4.58
KWT,2009,4.53
KWT,2010,4.59
KWT,2011,4.62
KWT,2012,4.56
KWT,2013,4.56
KWT,2014,4.51
KWT,2015,4.59
KWT,2016,4.53
KWT,2017,4.43
LAO,2013,4.08
LAO,2014,3.91
LAO,2015,4.0
LAO,2016,3.93
LAO,2017,3.91
LBN,2010,3.89
LBN,2011,3.95
LBN,2012,3.88
LBN,2013,3.77
LBN,2014,3.68
LBN,2015,3.84
LBN,2016,3.84
LBN,2017,3.84
LBR,2012,3.71
LBR,2013,3.45
LBR,2015,3.37
LBR,2016,3.21
LBR,2017,3.08
LBY,2007,3.85
LBY,2008,3.85
LBY,2009,3.9
LBY,2010,3.74
LBY,2012,3.68
LBY,2013,3.73
LBY,2014,3.48
LKA,2007,3.99
LKA,2008,4.02
LKA,2009,4.01
LKA,2010,4.25
LKA,2011,4.33
LKA,2012,4.19
LKA,2013,4.22
LKA,2014,4.19
LKA,2015,4.21
LKA,2016,4.19
LKA,2017,4.08
LSO,2007,3.27
LSO,2008,3.4
LSO,2009,3.54
LSO,2010,3.36
LSO,2011,3.26
LSO,2012,3.19
LSO,2013,3.52
LSO,2014,3.73
LSO,2015,3.7
LSO,2016,3.57
LSO,2017,3.2
LTU,2007,4.49
LTU,2008,4.45
LTU,2009,4.3
LTU,2010,4.38
LTU,2011,4.41
LTU,2012,4.41
LTU,2013,4.41
LTU,2014,4.51
LTU,2015,4.55
LTU,2016,4.6
LTU,2017,4.58
LUX,2007,4.88
LUX,2008,4.85
LUX,2009,4.96
LUX,2010,5.05
LUX,2011,5.03
LUX,2012,5.09
LUX,2013,5.09
LUX,2014,5.17
LUX,2015,5.2
LUX,2016,5.2
LUX,2017,5.23
LVA,2007,4.41
LVA,2008,4.26
LVA,2009,4.06
LVA,2010,4.14
LVA,2011,4.24
LVA,2012,4.35
LVA,2013,4.4
LVA,2014,4.5
LVA,2015,4.45
LVA,2016,4.45
LVA,2017,4.4
MAR,2007,4.08
MAR,2008,4.08
MAR,2009,4.03
MAR,2010,4.08
MAR,2011,4.16
MAR,2012,4.15
MAR,2013,4.11
MAR,2014,4.21
MAR,2015,4.16
MAR,2016,4.2
MAR,2017,4.24
MDA,2010,3.86
MDA,2011,3.89
MDA,2012,3.94
MDA,2013,3.94
MDA,2014,4.03
MDA,2015,4.0
MDA,2016,3.86
MDA,2017,3.99
MDG,2007,3.36
MDG,2008,3.38
MDG,2009,3.42
MDG,2010,3.46
MDG,2011,3.36
MDG,2012,3.38
MDG,2013,3.42
MDG,2014,3.41
MDG,2015,3.32
MDG,2016,3.33
MDG,2017,3.4
MEX,2007,4.26
MEX,2008,4.23
MEX,2009,4.19
MEX,2010,4.19
MEX,2011,4.29
MEX,2012,4.36
MEX,2013,4.34
MEX,2014,4.27
MEX,2015,4.29
MEX,2016,4.41
MEX,2017,4.44
MKD,2007,3.73
MKD,2008,3.87
MKD,2009,3.95
MKD,2010,4.02
MKD,2011,4.05
MKD,2012,4.04
MKD,2013,4.14
MKD,2014,4.26
MKD,2015,4.28
MKD,2016,4.23
MLI,2007,3.37
MLI,2008,3.43
MLI,2009,3.22
MLI,2010,3.28
MLI,2011,3.39
MLI,2012,3.43
MLI,2013,3.33
MLI,2014,3.43
MLI,2015,3.44
MLI,2016,3.46
MLI,2017,3.33
MLT,2007,4.21
MLT,2008,4.31
MLT,2009,4.3
MLT,2010,4.34
MLT,2011,4.33
MLT,2012,4.41
MLT,2013,4.5
MLT,2014,4.45
MLT,2015,4.39
MLT,2016,4.52
MLT,2017,4.65
MMR,2013,3.23
MMR,2014,3.24
MMR,2015,3.32
MNE,2007,3.91
MNE,2008,4.11
MNE,2009,4.16
MNE,2010,4.36
MNE,2011,4.27
MNE,2012,4.14
MNE,2013,4.2
MNE,2014,4.23
MNE,2015,4.2
MNE,2016,4.05
MNE,2017,4.15
MNG,2007,3.6
MNG,2008,3.65
MNG,2009,3.43
MNG,2010,3.75
MNG,2011,3.86
MNG,2012,3.87
MNG,2013,3.75
MNG,2014,3.83
MNG,2015,3.81
MNG,2016,3.84
MNG,2017,3.9
MOZ,2007,3.02
MOZ,2008,3.15
MOZ,2009,3.22
MOZ,2010,3.32
MOZ,2011,3.31
MOZ,2012,3.17
MOZ,2013,3.3
MOZ,2014,3.24
MOZ,2015,3.2
MOZ,2016,3.13
MOZ,2017,2.89
MRT,2007,3.26
MRT,2008,3.14
MRT,2009,3.25
MRT,2010,3.14
MRT,2011,3.2
MRT,2012,3.32
MRT,2013,3.19
MRT,2014,3.0
MRT,2015,3.03
MRT,2016,2.94
MRT,2017,3.09
MUS,2007,4.16
MUS,2008,4.25
MUS,2009,4.22
MUS,2010,4.32
MUS,2011,4.31
MUS,2012,4.35
MUS,2013,4.45
MUS,2014,4.52
MUS,2015,4.43
MUS,2016,4.49
MUS,2017,4.52
MWI,2008,3.42
MWI,2009,3.42
MWI,2010,3.45
MWI,2011,3.58
MWI,2012,3.38
MWI,2013,3.32
MWI,2014,3.25
MWI,2015,3.15
MWI,2016,3.08
MWI,2017,3.11
MYS,2007,5.1
MYS,2008,5.04
MYS,2009,4.87
MYS,2010,4.88
MYS,2011,5.08
MYS,2012,5.06
MYS,2013,5.03
MYS,2014,5.16
MYS,2015,5.23
MYS,2016,5.16
MYS,2017,5.17
NAM,2007,3.85
NAM,2008,3.99
NAM,2009,4.03
NAM,2010,4.09
NAM,2011,4.0
NAM,2012,3.88
NAM,2013,3.93
NAM,2014,3.96
NAM,2015,3.99
NAM,2016,4.02
NAM,2017,3.99
NGA,2007,3.69
NGA,2008,3.81
NGA,2009,3.65
NGA,2010,3.38
NGA,2011,3.45
NGA,2012,3.67
NGA,2013,3.57
NGA,2014,3.44
NGA,2015,3.46
NGA,2016,3.39
NGA,2017,3.3
NIC,2007,3.45
NIC,2008,3.41
NIC,2009,3.44
NIC,2010,3.57
NIC,2011,3.61
NIC,2012,3.73
NIC,2013,3.84
NIC,2014,3.82
NIC,2015,3.75
NIC,2016,3.81
NIC,2017,3.95
NLD,2007,5.4
NLD,2008,5.41
NLD,2009,5.32
NLD,2010,5.33
NLD,2011,5.41
NLD,2012,5.5
NLD,2013,5.42
NLD,2014,5.45
NLD,2015,5.5
NLD,2016,5.57
NLD,2017,5.66
NOR,2007,5.2
NOR,2008,5.22
NOR,2009,5.17
NOR,2010,5.14
NOR,2011,5.18
NOR,2012,5.27
NOR,2013,5.33
NOR,2014,5.35
NOR,2015,5.41
NOR,2016,5.44
NOR,2017,5.4
NPL,2007,3.38
NPL,2008,3.37
NPL,2009,3.34
NPL,2010,3.34
NPL,2011,3.47
NPL,2012,3.49
NPL,2013,3.66
NPL,2014,3.81
NPL,2015,3.85
NPL,2016,3.87
NPL,2017,4.02
NZL,2007,4.98
NZL,2008,4.93
NZL,2009,4.98
NZL,2010,4.92
NZL,2011,4.93
NZL,2012,5.09
NZL,2013,5.11
NZL,2014,5.2
NZL,2015,5.25
NZL,2016,5.31
NZL,2017,5.37
OMN,2007,4.43
OMN,2008,4.55
OMN,2009,4.49
OMN,2010,4.61
OMN,2011,4.64
OMN,2012,4.65
OMN,2013,4.64
OMN,2014,4.46
OMN,2015,4.25
OMN,2016,4.28
OMN,2017,4.31
PAK,2007,3.77
PAK,2008,3.65
PAK,2009,3.58
PAK,2010,3.48
PAK,2011,3.58
PAK,2012,3.52
PAK,2013,3.41
PAK,2014,3.42
PAK,2015,3.45
PAK,2016,3.49
PAK,2017,3.67
PAN,2007,4.18
PAN,2008,4.24
PAN,2009,4.21
PAN,2010,4.33
PAN,2011,4.35
PAN,2012,4.49
PAN,2013,4.5
PAN,2014,4.43
PAN,2015,4.38
PAN,2016,4.51
PAN,2017,4.44
PER,2007,3.87
PER,2008,3.95
PER,2009,4.01
PER,2010,4.11
PER,2011,4.21
PER,2012,4.28
PER,2013,4.25
PER,2014,4.24
PER,2015,4.21
PER,2016,4.23
PER,2017,4.22
PHL,2007,3.99
PHL,2008,4.09
PHL,2009,3.9
PHL,2010,3.96
PHL,2011,4.08
PHL,2012,4.23
PHL,2013,4.29
PHL,2014,4.4
PHL,2015,4.39
PHL,2016,4.36
PHL,2017,4.35
POL,2007,4.28
POL,2008,4.28
POL,2009,4.33
POL,2010,4.51
POL,2011,4.46
POL,2012,4.46
POL,2013,4.46
POL,2014,4.48
POL,2015,4.49
POL,2016,4.56
POL,2017,4.59
PRI,2007,4.5
PRI,2008,4.51
PRI,2009,4.48
PRI,2010,4.49
PRI,2011,4.58
PRI,2012,4.67
PRI,2013,4.67
PRI,2014,4.64
PRT,2007,4.48
PRT,2008,4.47
PRT,2009,4.4
PRT,2010,4.38
PRT,2011,4.4
PRT,2012,4.4
PRT,2013,4.4
PRT,2014,4.54
PRT,2015,4.52
PRT,2016,4.48
PRT,2017,4.57
PRY,2007,3.3
PRY,2008,3.4
PRY,2009,3.35
PRY,2010,3.49
PRY,2011,3.53
PRY,2012,3.67
PRY,2013,3.61
PRY,2014,3.59
PRY,2015,3.6
PRY,2016,3.65
PRY,2017,3.71
QAT,2007,4.63
QAT,2008,4.83
QAT,2009,4.95
QAT,2010,5.1
QAT,2011,5.24
QAT,2012,5.38
QAT,2013,5.24
QAT,2014,5.24
QAT,2015,5.3
QAT,2016,5.23
QAT,2017,5.11
ROU,2007,3.97
ROU,2008,4.1
ROU,2009,4.11
ROU,2010,4.16
ROU,2011,4.08
ROU,2012,4.07
ROU,2013,4.13
ROU,2014,4.3
ROU,2015,4.32
ROU,2016,4.3
ROU,2017,4.28
RUS,2007,4.19
RUS,2008,4.31
RUS,2009,4.15
RUS,2010,4.24
RUS,2011,4.21
RUS,2012,4.2
RUS,2013,4.25
RUS,2014,4.37
RUS,2015,4.44
RUS,2016,4.51
RUS,2017,4.64
RWA,2010,4.0
RWA,2011,4.19
RWA,2012,4.24
RWA,2013,4.21
RWA,2014,4.27
RWA,2015,4.29
RWA,2016,4.41
RWA,2017,4.35
SAU,2007,4.55
SAU,2008,4.72
SAU,2009,4.75
SAU,2010,4.95
SAU,2011,5.17
SAU,2012,5.19
SAU,2013,5.1
SAU,2014,5.06
SAU,2015,5.07
SAU,2016,4.84
SAU,2017,4.83
SEN,2007,3.61
SEN,2008,3.73
SEN,2009,3.78
SEN,2010,3.67
SEN,2011,3.7
SEN,2012,3.66
SEN,2013,3.7
SEN,2014,3.7
SEN,2015,3.73
SEN,2016,3.74
SEN,2017,3.81
SGP,2007,5.45
SGP,2008,5.53
SGP,2009,5.55
SGP,2010,5.48
SGP,2011,5.63
SGP,2012,5.67
SGP,2013,5.61
SGP,2014,5.65
SGP,2015,5.68
SGP,2016,5.72
SGP,2017,5.71
SLE,2012,2.82
SLE,2013,3.01
SLE,2014,3.1
SLE,2015,3.06
SLE,2016,3.16
SLE,2017,3.2
SLV,2007,4.05
SLV,2008,3.99
SLV,2009,4.02
SLV,2010,3.99
SLV,2011,3.89
SLV,2012,3.8
SLV,2013,3.84
SLV,2014,4.01
SLV,2015,3.87
SLV,2016,3.81
SLV,2017,3.77
SRB,2007,3.78
SRB,2008,3.9
SRB,2009,3.77
SRB,2010,3.84
SRB,2011,3.88
SRB,2012,3.87
SRB,2013,3.77
SRB,2014,3.9
SRB,2015,3.89
SRB,2016,3.97
SRB,2017,4.14
